511,General principles of mathematics,3
512,Algebra,3
513,Arithmetic,3
514,Topology,3
515,Analysis,3
516,Geometry,3
517,[Unassigned],3
518,Numerical analysis,3
519,Probabilities and applied mathematics,3
520,Astronomy and allied sciences,3
521,Celestial mechanics,3
522,"Techniques, equipment & materials",3
523,Specific celestial bodies and phenomena,3
524,[Unassigned],3
525,Earth (Astronomical geography),3
526,Mathematical geography,3
527,Celestial navigation,3
528,Ephemerides,3
529,Chronology,3
530,Physics,3
531,Classical mechanics,3
532,Fluid mechanics,3
533,Pneumatics (Gas mechanics),3
534,Sound and related vibrations,3
535,Light and related radiation,3
536,Heat,3
537,Electricity and electronics,3
538,Magnetism,3
539,Modern physics,3
540,Chemistry and allied sciences,3
541,Physical chemistry,3
542,"Techniques, equipment & materials",3
543,Analytical chemistry,3
544,[Unassigned],3
545,[Unassigned],3
546,Inorganic chemistry,3
547,Organic chemistry,3
548,Crystallography,3
549,Mineralogy,3
550,Earth sciences,3
551,"Geology, hydrology, meteorology",3
552,Petrology,3
553,Economic geology,3
554,Earth sciences of Europe,3
555,Earth sciences of Asia,3
556,Earth sciences of Africa,3
557,Earth sciences of North America,3
558,Earth sciences of South America,3
559,Earth sciences of other areas,3
560,Paleontology,3
561,Paleobotany; fossil microorganisms,3
562,Fossil invertebrates,3
563,Fossil marine & seashore invertebrates,3
564,Fossil Mollucas & Molluscoidea,3
565,Fossil Arthropoda,3
566,Fossil Chordata,3
567,Fossil cold-blooded vertebrates,3
568,Fossil Aves (birds),3
569,Fossil Mammalia,3
570,Biology,3
571,Physiology & related subjects,3
572,Biochemistry,3
573,Specific physiological systems in animals,3
574,[Unassigned],3
575,Specific parts of & systems in plants,3
576,Genetics and evolution,3
577,Ecology,3
578,Natural history of organisms,3
579,"Microorganisms, fungi & algae",3
580,Plants,3
581,Specific topics in natural history of plants,3
582,Plants noted for characteristics & flowers,3
583,Eudicots and Ceratophyllales,3
584,"Monocots, Chloranthales, magnoliids",3
585,Pinophyta,3
586,Cryptogamia,3
587,Pteridophyta,3
588,Bryophyta,3
589,[Unassigned],3
590,Animals,3
591,Specific topics in natural history of animals,3
592,Invertebrates,3
593,Marine & seashore invertebrates,3
594,Mollusca and Molluscoidea,3
595,Arthropoda,3
596,Chordata,3
597,Cold-blooded vertebrates,3
598,Aves,3
599,Mammalia,3
600,Technology (Applied sciences),3
601,Philosophy and theory,3
602,Miscellany,3
603,"Dictionaries, encyclopedias, concordances",3
604,"Technical drawing, hazardous materials",3
605,Serial publications,3
606,Organizations,3
607,"Education, research, related topics",3
608,Patents,3
609,"History, geographic treatment, biography",3
610,Medicine and health,3
611,"Human anatomy, cytology, histology",3
612,Human physiology,3
613,Personal health & safety,3
614,Forensic medicine; incidence of disease,3
615,Pharmacology and therapeutics,3
616,Diseases,3
617,Surgery & related medical specialties,3
618,"Gynecology, obstetrics, pediatrics, geriatrics",3
619,[Unassigned],3
620,Engineering and allied operations,3
621,Applied physics,3
622,Mining and related operations,3
623,Military and nautical engineering,3
624,Civil engineering,3
625,Engineering of railroads and roads,3
626,[Unassigned],3
627,Hydraulic engineering,3
628,Sanitary engineering,3
629,Other branches of engineering,3
630,Agriculture and related technologies,3
631,"Techniques, equipment & materials",3
632,"Plant injuries, diseases, pests",3
633,Field and plantation crops,3
634,"Orchards, fruits, forestry",3
635,Garden crops (Horticulture),3
636,Animal husbandry,3
637,Processing dairy and related products,3
638,Insect culture,3
639,"Hunting, fishing & conservation",3
640,Home and family management,3
641,Food and drink,3
642,Meals and table service,3
643,Housing and household equipment,3
644,Household utilities,3
645,Household furnishings,3
646,"Sewing, clothing & personal living",3
647,Management of public households,3
648,Housekeeping,3
649,Child rearing & home care of people,3
650,Management and auxiliary services,3
651,Office services,3
652,Processes of written communication,3
653,Shorthand,3
654,[Unassigned],3
655,[Unassigned],3
656,[Unassigned],3
657,Accounting,3
658,General management,3
659,Advertising and public relations,3
660,Chemical engineering,3
661,Technology of industrial chemicals,3
662,"Explosives, fuels & related products",3
663,Beverage technology,3
664,Food technology,3
665,"Industrial oils, fats, waxes & gases",3
666,Ceramic & allied technologies,3
667,"Cleaning, color & coating technologies",3
668,Technology of other organic products,3
669,Metallurgy,3
670,Manufacturing,3
671,Metalworking & primary metal products,3
672,"Iron, steel, other iron alloys",3
673,Nonferrous metals,3
674,"Lumber processing, wood products, cork",3
675,Leather and fur processing,3
676,Pulp and paper technology,3
677,Textiles,3
678,Elastomers and elastomer products,3
679,Other products of specific materials,3
680,Manufacture of products for specific uses,3
681,Precision instruments and other devices,3
682,Small forge work (Blacksmithing),3
683,Hardware & household appliances,3
684,Furnishings and home workshops,3
685,"Leather, fur goods & related products",3
686,Printing and related activities,3
687,Clothing and accessories,3
